N,P,K,temperature,humidity,ph,rainfall,label
31.15,75.43,20.46,37.64,46.29,6.01,169.03,pigeonpeas
35.88,59.48,23.0,33.08,54.91,4.9,185.18,pigeonpeas
14.72,62.74,17.9,36.59,61.82,6.89,117.55,pigeonpeas
28.75,69.29,23.33,36.97,45.3,6.52,95.7,pigeonpeas
26.47,62.19,18.07,30.88,60.53,5.5,170.6,pigeonpeas
22.14,56.71,22.84,30.14,55.82,6.56,126.57,pigeonpeas
11.7,64.35,24.44,34.06,61.79,6.4,111.89,pigeonpeas
22.55,73.77,16.01,30.06,51.91,5.8,197.84,pigeonpeas
12.03,67.97,16.79,37.68,47.83,5.71,171.17,pigeonpeas
31.14,65.57,18.47,31.37,51.61,5.12,143.13,pigeonpeas
18.06,62.19,21.57,37.65,60.09,4.73,98.31,pigeonpeas
38.54,62.43,15.92,33.59,60.59,6.45,119.41,pigeonpeas
10.45,79.13,17.51,34.44,62.67,6.33,124.42,pigeonpeas
18.13,69.94,23.66,37.41,47.65,4.96,193.92,pigeonpeas
32.1,77.07,17.03,33.46,62.53,6.54,134.9,pigeonpeas
10.46,69.57,17.53,31.95,68.94,5.7,182.38,pigeonpeas
15.66,71.81,24.77,28.12,45.21,5.8,100.19,pigeonpeas
32.45,77.86,19.34,29.85,55.86,6.67,91.0,pigeonpeas
27.68,70.33,21.38,29.66,62.85,4.77,111.92,pigeonpeas
36.32,73.47,15.14,29.73,50.36,5.31,117.23,pigeonpeas
11.88,66.47,22.33,33.67,61.82,4.74,194.66,pigeonpeas
35.15,75.13,23.23,37.26,58.61,5.1,157.85,pigeonpeas
32.29,73.45,20.21,27.75,54.28,7.26,154.29,pigeonpeas
26.15,61.72,18.68,36.85,61.66,6.86,139.98,pigeonpeas
28.91,61.21,22.05,31.7,56.06,6.45,192.99,pigeonpeas
11.92,75.62,17.92,31.88,45.55,5.4,145.29,pigeonpeas
11.69,67.28,24.27,28.16,64.11,5.73,162.07,pigeonpeas
17.81,58.99,16.6,27.78,49.64,6.49,186.99,pigeonpeas
34.42,72.13,16.1,30.18,52.75,5.25,146.65,pigeonpeas
26.07,63.92,18.54,36.11,64.73,5.42,190.52,pigeonpeas
38.58,63.17,18.54,32.56,68.53,7.13,101.28,pigeonpeas
21.78,68.83,20.03,29.13,66.47,6.53,182.17,pigeonpeas
35.76,73.71,19.39,33.72,49.01,6.52,109.72,pigeonpeas
30.82,60.74,16.18,28.82,45.05,6.66,170.56,pigeonpeas
25.45,59.03,15.84,27.21,49.14,7.17,116.57,pigeonpeas
20.63,57.63,17.22,32.71,60.19,5.24,96.35,pigeonpeas
21.73,60.86,17.2,37.56,60.41,6.17,135.74,pigeonpeas
22.87,68.52,21.96,34.72,49.29,6.0,135.32,pigeonpeas
36.12,70.79,20.33,28.27,60.14,4.85,127.09,pigeonpeas
14.29,72.3,17.06,31.31,67.39,5.11,145.86,pigeonpeas
22.58,55.45,22.93,27.76,56.86,6.18,159.13,pigeonpeas
30.66,61.33,15.1,34.96,58.39,7.01,180.35,pigeonpeas
35.3,67.13,18.34,35.71,56.28,5.05,184.05,pigeonpeas
36.48,66.66,15.76,31.27,65.09,7.21,112.38,pigeonpeas
12.01,76.93,18.89,32.96,69.2,4.7,161.31,pigeonpeas
12.22,64.39,23.04,31.77,69.93,6.18,125.33,pigeonpeas
16.6,63.76,18.73,27.76,54.24,5.89,169.5,pigeonpeas
29.7,72.72,15.08,29.39,61.54,5.95,90.58,pigeonpeas
34.13,74.32,20.48,27.73,64.16,6.25,176.02,pigeonpeas
32.55,75.08,20.18,28.54,61.78,6.36,171.65,pigeonpeas
15.1,59.87,23.9,35.25,67.71,6.78,155.69,pigeonpeas
29.62,77.23,20.79,33.96,48.91,5.92,168.8,pigeonpeas
18.13,60.06,18.14,29.66,50.37,5.77,189.86,pigeonpeas
25.21,59.7,15.77,34.66,54.57,6.97,162.55,pigeonpeas
33.89,61.8,21.92,29.9,68.48,6.41,125.7,pigeonpeas
18.09,59.77,21.95,29.41,59.88,5.29,162.82,pigeonpeas
34.45,74.45,22.61,29.06,47.21,6.6,130.52,pigeonpeas
22.97,55.78,17.6,27.37,66.98,5.23,151.31,pigeonpeas
11.17,71.67,18.23,36.88,67.2,5.48,189.11,pigeonpeas
39.88,75.64,23.45,29.74,59.42,4.7,100.44,pigeonpeas
39.97,63.17,22.48,35.87,66.45,7.49,116.56,pigeonpeas
11.21,65.28,16.3,27.25,54.01,6.85,152.28,pigeonpeas
19.38,71.36,17.32,27.16,64.11,6.37,173.85,pigeonpeas
11.17,75.93,21.2,33.2,60.62,7.09,154.56,pigeonpeas
27.43,79.77,22.57,31.87,62.68,5.67,115.18,pigeonpeas
27.91,78.2,24.29,30.76,58.19,5.13,199.52,pigeonpeas
39.43,71.24,23.04,34.87,59.83,4.66,140.02,pigeonpeas
30.24,71.94,18.73,37.36,49.18,6.0,166.0,pigeonpeas
30.91,71.22,17.75,28.72,60.9,6.3,109.73,pigeonpeas
31.15,66.38,21.68,36.21,49.24,4.56,175.7,pigeonpeas
28.29,72.49,23.38,35.83,69.02,6.11,143.73,pigeonpeas
22.06,58.84,20.73,30.05,68.03,6.25,155.21,pigeonpeas
20.65,56.3,15.32,31.66,47.11,6.32,186.91,pigeonpeas
36.49,71.48,17.11,36.49,67.15,5.09,171.12,pigeonpeas
18.6,55.07,24.97,24.24,62.43,7.48,73.8,mothbeans
23.95,56.18,15.62,26.68,41.68,9.74,66.76,mothbeans
35.58,58.45,15.85,27.08,41.78,4.85,40.32,mothbeans
24.07,41.71,16.01,25.34,43.68,9.73,64.17,mothbeans
39.03,45.99,17.78,30.39,48.16,5.42,40.46,mothbeans
13.89,41.41,18.55,29.39,41.56,4.85,66.41,mothbeans
14.41,43.57,23.65,25.24,42.07,6.6,43.61,mothbeans
26.9,55.1,16.37,28.65,52.64,4.42,58.08,mothbeans
18.21,47.2,15.82,27.68,47.66,8.76,32.56,mothbeans
22.56,46.46,22.25,28.59,56.68,8.47,68.8,mothbeans
19.42,48.45,23.4,31.92,62.24,5.88,38.78,mothbeans
24.68,53.54,19.93,27.87,60.96,5.81,68.69,mothbeans
22.2,43.21,19.54,30.1,43.15,4.76,72.82,mothbeans
15.26,49.19,20.79,27.92,56.12,4.97,54.87,mothbeans
21.17,51.54,16.41,28.57,44.63,5.28,39.84,mothbeans
15.49,55.64,17.86,31.42,64.25,7.16,36.44,mothbeans
21.24,54.94,18.67,24.7,53.92,8.91,65.82,mothbeans
15.25,51.82,17.21,25.75,61.85,5.1,41.85,mothbeans
10.02,56.77,22.93,29.02,58.76,4.47,50.62,mothbeans
20.54,37.34,19.86,31.37,41.0,5.37,39.34,mothbeans
17.14,57.71,19.68,27.73,59.01,4.49,51.93,mothbeans
22.9,49.92,25.0,30.16,49.95,8.8,37.68,mothbeans
10.91,40.11,18.4,28.08,55.38,9.33,52.94,mothbeans
25.04,36.26,15.35,28.41,50.95,8.87,37.23,mothbeans
10.75,46.23,17.37,24.4,58.11,4.21,57.37,mothbeans
18.43,39.34,18.8,30.41,49.8,8.3,35.65,mothbeans
33.18,40.92,21.77,28.53,63.23,5.98,32.98,mothbeans
10.57,55.67,20.25,30.2,45.86,5.71,31.35,mothbeans
38.84,51.7,24.33,26.12,55.29,7.84,44.29,mothbeans
35.44,58.68,23.85,29.91,46.94,5.3,73.35,mothbeans
10.31,52.9,22.06,28.98,64.75,5.5,45.3,mothbeans
12.37,46.07,17.61,26.75,60.86,9.49,38.36,mothbeans
21.18,58.22,15.62,24.74,44.07,7.31,36.77,mothbeans
39.04,46.17,20.02,25.97,51.77,7.74,63.8,mothbeans
32.62,49.45,24.04,30.54,58.93,3.86,30.31,mothbeans
16.37,51.59,19.11,27.22,62.11,9.23,70.91,mothbeans
19.42,52.28,17.72,25.52,44.62,5.69,49.35,mothbeans
34.93,38.0,22.35,28.25,47.2,6.65,43.5,mothbeans
27.88,45.85,16.64,24.93,53.67,9.28,45.48,mothbeans
31.99,51.47,24.32,30.57,54.17,7.7,70.43,mothbeans
21.99,43.17,15.11,30.61,60.02,4.17,55.96,mothbeans
23.92,37.97,24.81,25.72,41.68,7.31,63.25,mothbeans
10.97,51.47,20.32,24.83,44.31,7.14,43.34,mothbeans
38.15,55.47,24.84,26.08,64.24,6.26,45.64,mothbeans
11.51,36.32,21.92,27.66,45.66,7.43,41.38,mothbeans
27.33,43.98,23.24,30.57,51.93,5.75,46.32,mothbeans
34.17,43.2,17.09,24.68,51.67,6.59,67.84,mothbeans
16.64,44.52,23.08,30.59,49.62,6.44,43.65,mothbeans
37.98,37.97,24.34,29.47,53.29,3.71,51.4,mothbeans
22.23,39.03,21.56,31.77,54.05,8.07,33.08,mothbeans
22.53,37.91,21.13,31.51,56.54,3.99,45.96,mothbeans
26.52,45.08,23.34,30.52,55.3,5.89,41.49,mothbeans
13.18,43.87,19.13,29.41,56.45,3.95,47.79,mothbeans
15.45,38.92,23.27,24.34,50.48,4.58,69.57,mothbeans
26.71,40.78,20.02,29.85,63.95,4.91,69.88,mothbeans
38.03,57.91,21.35,29.04,50.08,8.32,53.91,mothbeans
30.32,45.71,22.31,30.6,43.66,8.83,54.31,mothbeans
35.34,45.78,18.79,31.32,46.28,8.9,51.78,mothbeans
25.42,42.71,20.73,26.6,40.98,5.24,30.29,mothbeans
39.35,59.14,18.95,29.83,48.65,7.79,66.24,mothbeans
38.4,45.01,22.83,26.13,64.76,3.66,57.16,mothbeans
29.79,52.2,16.2,31.51,44.53,7.49,40.02,mothbeans
19.22,48.66,19.17,25.28,44.27,6.18,64.08,mothbeans
36.94,37.1,18.93,24.8,40.41,7.73,57.11,mothbeans
14.89,40.85,15.24,30.68,64.37,4.37,40.42,mothbeans
36.05,58.16,19.2,24.4,40.98,7.17,47.68,mothbeans
10.86,49.58,15.11,30.3,47.66,3.76,56.48,mothbeans
21.93,59.35,20.44,26.2,57.74,5.24,70.69,mothbeans
21.24,48.75,15.51,27.41,60.81,8.66,40.09,mothbeans
16.78,55.43,24.3,24.76,51.25,5.66,69.18,mothbeans
12.51,40.28,22.52,24.41,52.31,6.33,45.05,mothbeans
21.84,48.25,16.61,28.58,60.14,8.37,36.93,mothbeans
14.48,41.7,18.61,27.27,56.99,3.86,31.56,mothbeans
21.76,52.43,16.93,29.13,46.5,9.17,70.31,mothbeans
18.92,40.75,19.11,25.92,56.81,8.79,60.29,mothbeans
34.73,44.92,16.56,29.9,49.01,7.8,42.18,mothbeans
12.44,59.81,16.56,31.91,64.43,8.58,59.67,mothbeans
27.33,56.65,17.89,27.74,55.48,6.13,49.24,mothbeans
19.91,49.11,23.51,25.61,63.36,7.91,67.05,mothbeans
26.69,54.49,15.16,30.55,41.0,9.2,74.64,mothbeans
18.82,40.26,22.65,26.02,61.64,4.16,35.67,mothbeans
39.37,51.85,23.47,26.59,56.91,7.3,57.14,mothbeans
30.48,49.38,19.29,26.21,59.21,4.95,61.16,mothbeans
17.0,50.63,22.47,25.75,41.5,4.34,57.27,mothbeans
35.48,36.12,22.34,26.73,51.96,9.44,44.94,mothbeans
23.96,35.34,15.82,26.07,40.7,7.54,49.19,mothbeans
26.44,39.37,17.96,29.31,64.13,3.82,70.07,mothbeans
27.31,49.1,20.0,24.56,42.25,7.35,45.34,mothbeans
37.52,45.16,16.43,29.72,47.33,6.86,61.4,mothbeans
37.01,54.8,21.76,29.44,63.65,5.39,30.05,mothbeans
18.16,40.45,21.62,29.07,54.84,3.6,62.8,mothbeans
19.71,51.63,20.57,26.74,43.36,4.1,67.42,mothbeans
37.55,51.24,16.03,27.22,58.22,8.49,35.32,mothbeans
10.0,52.8,18.57,26.04,40.32,6.96,68.3,mothbeans
38.73,49.14,20.14,24.68,53.72,5.93,57.32,mothbeans
21.66,41.01,15.95,26.52,42.42,4.63,74.43,mothbeans
23.32,48.3,23.74,31.96,54.57,8.7,44.71,mothbeans
19.17,45.07,21.73,29.46,47.88,4.35,58.46,mothbeans
13.85,49.46,21.93,29.6,58.84,9.09,52.5,mothbeans
31.91,50.48,16.87,24.21,47.11,6.34,57.77,mothbeans
35.5,39.91,16.26,29.89,81.08,6.68,49.64,mungbean
26.24,37.15,15.57,27.32,85.86,6.74,40.84,mungbean
29.13,55.5,15.42,28.49,86.89,6.45,42.69,mungbean
28.41,57.45,23.1,28.75,87.3,6.56,51.02,mungbean
23.99,39.75,22.02,28.67,83.59,7.11,35.52,mungbean
19.47,36.42,22.67,29.11,83.31,6.88,44.9,mungbean
32.69,46.35,19.12,29.8,82.51,6.32,49.61,mungbean
39.08,44.45,15.62,28.02,85.06,6.36,51.45,mungbean
39.93,46.29,18.55,28.2,81.15,7.08,45.37,mungbean
21.62,51.49,19.42,28.94,80.61,7.01,58.51,mungbean
29.46,58.86,16.51,28.43,86.02,6.78,45.04,mungbean
20.14,38.17,18.92,27.49,87.34,6.41,36.46,mungbean
26.57,49.88,23.72,28.73,83.45,7.0,48.51,mungbean
12.38,49.15,24.08,28.19,82.96,6.34,38.79,mungbean
22.98,49.89,15.81,29.82,87.55,6.79,55.71,mungbean
12.41,46.92,21.3,29.49,87.83,6.48,58.52,mungbean
13.73,56.88,24.71,27.53,87.22,6.24,45.14,mungbean
25.49,49.52,24.36,29.02,84.81,7.01,58.76,mungbean
10.66,59.56,15.86,29.44,82.8,6.33,46.0,mungbean
29.32,44.52,15.55,28.8,89.02,6.58,40.41,mungbean
23.28,36.21,23.2,29.48,85.88,6.55,54.99,mungbean
26.64,55.65,21.31,29.35,85.99,6.61,58.95,mungbean
26.23,50.13,17.2,28.88,85.72,6.38,36.49,mungbean
28.13,54.09,20.23,27.68,86.67,6.28,46.05,mungbean
14.9,39.61,17.02,28.16,80.51,6.6,47.79,mungbean
24.5,44.57,23.39,27.44,85.06,6.26,36.78,mungbean
27.22,49.15,23.78,28.67,89.6,6.25,37.45,mungbean
11.32,39.63,20.41,28.94,80.46,7.15,56.05,mungbean
18.9,36.93,16.7,27.38,81.23,6.72,41.15,mungbean
20.74,59.74,21.84,29.85,81.43,6.58,48.87,mungbean
12.3,35.1,21.7,28.93,84.11,6.69,45.39,mungbean
10.72,43.38,16.77,27.3,89.57,6.8,53.22,mungbean
19.46,44.83,17.37,27.29,81.79,7.0,51.94,mungbean
26.41,46.88,24.22,27.22,82.81,6.55,54.56,mungbean
39.78,41.02,23.74,29.49,82.25,6.6,45.24,mungbean
39.35,39.52,22.99,28.0,87.31,6.62,49.46,mungbean
34.98,55.1,23.66,27.18,86.92,6.34,45.4,mungbean
26.46,45.07,20.2,29.99,81.35,6.88,44.9,mungbean
13.99,38.97,24.49,29.64,89.07,7.19,40.21,mungbean
20.66,51.73,19.84,28.26,83.58,6.79,49.39,mungbean
14.84,46.79,20.53,28.71,82.1,6.94,35.63,mungbean
20.64,54.51,20.64,27.78,86.95,6.77,54.91,mungbean
32.05,50.25,19.88,27.4,82.61,6.62,49.98,mungbean
25.41,42.2,15.06,28.49,82.86,6.93,35.6,mungbean
27.54,58.54,16.74,28.41,80.91,6.83,48.76,mungbean
22.22,48.03,23.97,27.59,80.23,7.06,49.43,mungbean
36.72,49.92,23.1,28.29,87.5,7.11,49.3,mungbean
15.42,41.72,16.99,27.74,83.06,6.76,49.7,mungbean
22.79,50.39,15.82,27.26,81.72,6.72,40.35,mungbean
18.5,45.01,23.12,27.04,86.49,6.87,54.97,mungbean
37.98,35.5,16.54,29.66,84.59,6.76,51.58,mungbean
30.37,58.29,24.97,29.16,82.87,7.08,36.23,mungbean
16.93,57.43,17.56,27.66,81.38,7.06,47.5,mungbean
30.25,40.98,22.58,29.28,83.13,6.61,40.24,mungbean
39.3,51.14,24.35,27.91,87.82,6.97,52.29,mungbean
38.97,44.84,16.31,29.02,87.29,6.78,40.17,mungbean
25.13,42.8,19.27,28.94,87.45,6.43,45.13,mungbean
18.07,39.97,22.83,29.73,83.7,6.95,57.42,mungbean
35.38,39.57,24.56,28.13,83.39,6.26,47.15,mungbean
13.27,41.21,18.17,29.43,88.75,6.5,56.47,mungbean
35.72,54.12,16.47,29.07,89.45,6.88,43.29,mungbean
25.02,51.14,20.11,27.36,83.12,7.0,56.54,mungbean
14.12,58.81,18.29,28.99,87.52,7.01,58.64,mungbean
19.39,56.46,16.32,29.12,87.42,6.88,41.31,mungbean
36.19,39.22,15.54,29.15,84.75,7.05,44.58,mungbean
15.05,55.91,20.49,27.57,87.2,6.71,50.11,mungbean
23.83,55.72,23.3,29.13,81.05,7.04,51.78,mungbean
30.91,44.07,23.79,29.18,81.13,6.61,57.16,mungbean
11.42,59.04,21.79,28.89,82.71,6.45,58.55,mungbean
18.95,54.39,18.93,27.42,80.11,6.74,59.39,mungbean
21.07,43.93,18.44,28.56,84.41,7.08,47.64,mungbean
25.23,38.46,24.83,27.75,80.73,6.86,49.88,mungbean
22.45,45.55,22.85,27.59,88.2,6.85,45.47,mungbean
23.74,41.42,22.52,28.54,83.21,6.8,59.89,mungbean
23.06,58.02,18.45,27.16,82.04,6.62,40.49,mungbean
10.01,57.88,23.44,29.23,81.68,6.32,36.69,mungbean
31.72,58.22,19.31,27.36,85.12,6.55,44.37,mungbean
28.64,52.97,16.11,27.11,89.94,6.43,36.35,mungbean
15.7,35.97,18.92,29.41,83.41,6.64,51.89,mungbean
25.27,56.54,23.66,27.03,87.78,6.66,59.72,mungbean
24.5,59.67,22.55,27.75,85.38,7.19,56.44,mungbean
12.92,52.66,18.46,27.02,84.03,6.43,55.47,mungbean
20.12,55.69,15.01,27.92,82.41,6.43,36.7,mungbean
15.61,48.89,17.91,28.25,83.77,7.08,57.63,mungbean
24.79,43.25,16.07,29.86,80.6,6.5,42.45,mungbean
19.61,39.11,22.83,27.37,86.35,6.32,36.76,mungbean
37.28,39.75,23.21,28.63,80.78,7.16,41.17,mungbean
35.79,39.22,23.54,27.04,85.12,6.97,58.37,mungbean
37.28,55.49,23.88,27.6,82.84,6.49,44.43,mungbean
21.8,48.61,16.6,29.07,81.68,6.51,47.58,mungbean
33.89,53.49,21.46,27.47,85.47,6.29,44.43,mungbean
22.41,36.0,17.74,29.87,89.54,6.55,36.08,mungbean
15.37,44.81,24.48,27.42,87.64,6.31,59.53,mungbean
21.45,54.38,18.43,28.88,81.92,6.35,58.45,mungbean
37.53,57.19,21.25,29.42,80.69,6.53,42.84,mungbean
29.07,43.9,16.49,28.79,88.14,6.58,38.31,mungbean
15.9,40.94,18.0,28.93,86.01,6.9,44.06,mungbean
34.72,40.1,19.69,29.4,81.8,6.31,57.09,mungbean
20.29,52.1,15.25,29.07,83.16,6.26,50.25,mungbean
17.22,44.67,15.81,27.44,82.98,6.29,57.77,mungbean
30.18,67.1,16.23,28.08,69.26,6.66,74.49,blackgram
36.17,73.54,20.47,33.84,65.54,7.03,62.93,blackgram
34.99,77.91,18.28,28.72,67.6,6.84,74.28,blackgram
52.14,69.94,23.81,25.5,62.57,6.97,63.4,blackgram
52.32,77.98,19.24,28.42,69.62,6.94,67.34,blackgram
40.55,77.74,20.69,32.62,68.12,6.84,66.51,blackgram
55.45,64.08,22.94,34.41,66.23,7.24,72.08,blackgram
55.35,64.88,15.51,29.02,66.74,6.95,71.23,blackgram
40.71,70.87,16.86,32.49,65.46,6.7,64.38,blackgram
52.46,67.07,17.16,34.67,67.15,7.46,66.41,blackgram
44.25,77.45,20.25,32.07,62.52,6.95,61.85,blackgram
36.18,55.02,15.39,34.77,62.42,7.16,72.59,blackgram
46.52,58.83,22.28,31.0,67.31,7.27,74.63,blackgram
47.21,63.54,21.48,25.68,68.97,6.62,64.92,blackgram
54.47,69.93,18.94,29.73,68.55,6.84,73.04,blackgram
32.64,74.42,23.48,26.82,64.3,6.67,70.6,blackgram
46.06,70.88,16.96,27.12,60.41,6.82,68.4,blackgram
55.74,71.67,19.35,34.53,67.19,7.43,67.91,blackgram
37.77,56.32,22.26,26.21,63.03,7.03,68.47,blackgram
48.02,59.16,18.8,31.17,69.7,7.23,73.84,blackgram
52.87,69.79,16.92,31.67,66.23,7.1,67.35,blackgram
45.86,63.36,20.19,26.98,68.05,6.69,61.27,blackgram
43.09,71.46,19.38,27.77,65.58,6.85,73.99,blackgram
57.68,67.56,18.28,32.37,60.37,6.97,65.04,blackgram
57.62,55.3,20.53,32.41,64.85,6.59,74.59,blackgram
45.54,70.35,17.37,29.83,64.29,6.57,61.59,blackgram
55.12,61.0,16.95,30.05,67.69,6.56,68.65,blackgram
33.58,55.91,15.53,33.34,61.18,6.55,66.57,blackgram
55.32,61.56,19.22,25.4,64.49,7.08,68.56,blackgram
39.97,62.89,16.07,28.67,60.99,7.27,74.49,blackgram
59.1,76.63,21.01,32.01,62.85,7.13,66.83,blackgram
44.46,73.94,17.82,28.18,69.25,6.56,67.28,blackgram
57.38,70.26,20.46,27.5,63.43,7.35,68.39,blackgram
45.44,57.49,15.16,34.64,63.77,7.1,61.2,blackgram
50.49,78.31,20.76,26.26,65.82,7.27,66.1,blackgram
56.4,71.22,23.99,31.24,61.31,6.81,63.03,blackgram
57.26,74.01,21.76,28.01,61.84,7.26,67.11,blackgram
36.77,70.42,15.4,28.26,64.69,6.65,74.77,blackgram
36.27,58.26,17.04,32.69,64.26,7.07,60.32,blackgram
31.03,66.15,23.17,33.85,60.87,7.04,73.7,blackgram
41.64,75.74,16.34,34.35,67.51,7.44,70.15,blackgram
40.9,78.45,17.76,28.32,67.01,7.27,73.94,blackgram
36.14,74.95,22.39,25.64,63.87,6.78,64.57,blackgram
59.49,71.07,22.18,34.77,63.77,7.3,66.52,blackgram
56.09,59.52,24.48,27.19,63.26,7.26,65.91,blackgram
48.25,66.11,22.42,27.28,60.58,6.8,67.11,blackgram
35.04,63.87,19.0,25.57,65.83,7.38,62.28,blackgram
47.93,71.62,19.19,32.01,64.11,7.0,60.11,blackgram
50.75,71.53,15.38,28.68,69.79,6.92,67.53,blackgram
57.3,72.93,20.82,32.98,68.64,6.96,67.13,blackgram
41.58,79.17,21.97,25.83,68.63,6.98,61.03,blackgram
46.49,65.43,23.78,27.04,68.26,7.06,60.82,blackgram
59.16,67.82,17.91,29.69,68.58,6.8,62.89,blackgram
33.87,62.45,22.8,29.72,62.27,6.67,64.99,blackgram
58.2,63.58,24.88,29.85,61.79,7.39,66.91,blackgram
51.29,79.59,15.5,25.97,67.2,6.78,62.76,blackgram
31.18,55.55,22.74,26.34,64.68,7.11,66.43,blackgram
30.81,74.59,15.11,32.62,68.93,6.93,68.03,blackgram
44.31,64.73,23.87,33.94,63.36,7.12,73.9,blackgram
58.86,67.72,19.53,27.79,69.59,6.64,68.7,blackgram
38.48,61.98,19.05,34.99,60.55,7.08,61.24,blackgram
34.64,65.99,20.1,27.59,63.16,6.59,64.55,blackgram
59.0,78.62,18.35,30.71,69.1,6.51,72.16,blackgram
58.45,57.28,16.61,34.61,65.38,6.51,63.86,blackgram
43.5,72.32,22.33,34.95,62.88,7.04,68.0,blackgram
42.17,59.23,24.77,33.53,64.98,7.1,63.41,blackgram
46.31,72.37,20.15,34.9,66.11,6.87,71.58,blackgram
35.11,64.61,18.47,29.32,67.82,6.98,71.91,blackgram
47.29,63.55,23.1,27.38,62.24,7.0,63.91,blackgram
30.27,71.21,20.11,29.46,69.67,7.07,72.95,blackgram
34.18,69.23,23.68,30.83,67.18,6.87,61.39,blackgram
43.74,64.86,23.67,27.44,69.67,7.46,63.71,blackgram
40.44,77.39,24.67,29.43,63.21,7.03,70.32,blackgram
38.2,73.41,15.52,25.49,63.86,6.85,64.73,blackgram
44.73,63.02,16.92,28.09,69.75,6.91,66.67,blackgram
47.3,79.58,17.42,31.81,67.16,7.11,61.33,blackgram
50.31,56.6,20.96,32.4,62.11,7.34,60.46,blackgram
55.31,66.51,17.18,26.34,69.53,6.57,62.99,blackgram
40.43,70.51,20.45,26.26,62.9,6.74,63.2,blackgram
42.33,72.6,17.17,28.67,63.91,7.48,74.32,blackgram
54.0,61.04,15.68,28.17,62.67,7.01,71.67,blackgram
55.75,76.12,18.6,31.87,63.13,6.56,70.52,blackgram
30.29,65.23,18.29,31.93,67.66,6.8,72.17,blackgram
38.82,66.16,22.27,31.93,69.87,6.73,69.93,blackgram
48.29,77.88,16.56,32.52,65.68,6.77,67.12,blackgram
40.01,69.48,23.89,30.69,66.32,7.02,60.77,blackgram
36.99,67.3,18.1,26.82,65.04,6.82,63.87,blackgram
43.92,58.33,24.28,33.68,67.08,6.61,71.64,blackgram
54.24,74.19,16.14,31.44,68.34,7.08,69.7,blackgram
43.75,68.22,15.34,31.39,60.81,6.94,64.39,blackgram
46.36,58.34,21.92,32.95,61.63,6.6,62.18,blackgram
56.31,68.2,19.67,26.07,66.5,7.37,72.42,blackgram
48.78,56.88,16.12,25.49,62.57,6.64,63.9,blackgram
41.55,78.57,21.1,33.35,67.1,6.61,71.04,blackgram
38.25,70.98,18.41,34.98,62.64,6.78,73.96,blackgram
30.74,72.42,22.25,33.36,69.74,7.48,60.98,blackgram
54.66,71.16,21.47,26.28,66.5,7.48,73.68,blackgram
43.17,56.0,18.62,33.26,67.01,6.96,60.83,blackgram
42.81,66.73,24.29,31.41,63.12,7.03,60.99,blackgram
59.18,64.0,19.78,28.55,66.83,7.16,70.73,blackgram
18.04,62.89,16.25,25.87,60.4,7.28,52.39,lentil
36.72,66.23,19.59,18.92,66.71,7.57,39.89,lentil
22.64,75.97,23.77,20.92,65.51,6.75,37.04,lentil
37.33,75.51,22.6,18.59,68.44,7.07,41.85,lentil
26.39,57.28,22.57,24.99,61.87,6.74,38.68,lentil
11.71,69.69,23.4,18.21,60.49,7.24,51.39,lentil
19.8,63.74,20.96,21.29,60.27,7.46,47.51,lentil
27.42,73.54,21.75,20.47,63.52,6.66,37.6,lentil
30.29,76.47,24.63,25.54,61.84,6.64,51.26,lentil
27.36,70.46,22.81,26.44,68.34,6.57,49.95,lentil
35.53,62.15,21.4,21.77,69.58,6.54,46.6,lentil
15.0,72.81,16.76,20.82,64.94,7.69,39.23,lentil
14.33,73.97,20.01,28.94,61.47,7.34,39.66,lentil
14.7,72.09,20.94,27.06,63.09,7.08,43.11,lentil
39.52,62.31,17.95,22.25,65.65,6.83,53.31,lentil
17.97,77.4,16.03,25.88,69.07,6.72,54.37,lentil
23.59,78.64,21.77,21.62,61.88,6.89,36.86,lentil
14.32,57.62,19.23,27.55,61.41,6.67,47.87,lentil
15.92,57.44,16.67,29.08,68.21,6.96,48.12,lentil
26.12,71.93,21.83,25.54,62.66,6.55,44.11,lentil
36.73,69.24,23.32,29.9,61.64,7.4,48.49,lentil
39.4,79.64,21.87,20.92,67.99,6.64,50.61,lentil
37.31,64.57,21.31,23.16,64.38,6.9,50.24,lentil
38.09,78.52,16.75,28.5,67.37,6.83,36.35,lentil
18.04,77.81,21.33,26.65,62.57,7.44,35.56,lentil
21.26,70.67,16.46,27.88,62.35,7.35,43.1,lentil
27.88,57.69,15.17,28.91,62.7,7.57,54.99,lentil
16.34,61.63,21.63,29.59,69.16,7.15,50.9,lentil
14.07,79.44,24.64,19.96,62.99,6.63,40.43,lentil
34.48,64.46,15.88,22.11,69.81,7.32,43.32,lentil
15.0,79.65,23.21,21.38,60.7,6.57,37.41,lentil
27.42,78.22,19.97,28.12,64.46,7.42,49.64,lentil
15.22,64.03,21.37,18.85,63.62,7.2,54.92,lentil
24.24,75.4,19.32,27.56,65.95,7.65,43.22,lentil
28.13,70.75,19.17,19.73,60.94,6.52,52.47,lentil
17.09,60.29,22.36,21.84,65.06,6.71,54.19,lentil
35.55,76.59,19.07,27.15,61.44,6.51,35.4,lentil
27.6,66.38,20.18,18.09,64.23,7.43,43.85,lentil
31.97,60.83,23.13,25.06,62.11,6.81,47.56,lentil
34.9,65.39,17.58,28.4,66.69,7.08,44.76,lentil
16.13,70.67,18.59,29.95,64.8,7.13,46.32,lentil
